periodo,empresa,degree_co,degreew_co,betweenness_co,closeness_co
2011-2014,20533976540,4,5,0.003618071899949236,0.05221351783742938
2011-2014,20445771601.0,1,1,0.0,0.04419002033505373
2011-2014,20534144432,3,3,0.0,0.05477522001127151
2011-2014,20408114943.0,3,3,0.0,0.05477522001127151
2011-2014,20530821731.0,5,5,0.003601458304490286,0.06742313937444255
2011-2014,20533990615,3,3,0.0,0.05477522001127151
2011-2014,20530698433,3,3,0.0,0.04403622676080181
2011-2014,20531044445.0,15,19,0.022022243758364483,0.05185686812542508
2011-2014,20534013923.0,3,3,0.0,0.04403622676080181
2011-2014,20542188261,3,3,0.0,0.04403622676080181
2011-2014,20534070307,2,5,0.0,0.04398519984682637
2011-2014,20530933882,4,4,0.0012201762887073698,0.07068757442795373
2011-2014,20530715893.0,13,13,0.0144936807012438,0.08163274724260464
2011-2014,20323041092.0,8,10,0.006091900725709388,0.07746781115879828
2011-2014,20530713254,7,8,0.005059440485163868,0.08008275837090963
2011-2014,10079417551,1,2,0.0,0.002145922746781116
2011-2014,20534187590.0,1,2,0.0,0.002145922746781116
2011-2014,20531073623,3,3,0.0,0.04403622676080181
2011-2014,20530906214.0,3,3,0.0,0.04403622676080181
2011-2014,20542041910,3,3,0.0,0.04403622676080181
2011-2014,20530987460,3,3,0.0,0.006437768240343348
2011-2014,20534083549.0,3,3,0.0,0.006437768240343348
2011-2014,20533925554.0,3,3,0.0,0.006437768240343348
2011-2014,20531049838,3,3,0.0,0.006437768240343348
2011-2014,20407769407,3,3,0.0,0.011333154506437768
2011-2014,20533946471.0,3,3,0.0,0.011333154506437768
2011-2014,20530592520.0,7,8,0.0003138123586690664,0.016484588373000392
2011-2014,20534001593,3,3,0.0,0.011333154506437768
2011-2014,20531010036,4,4,0.0026720199363145488,0.06990649625747912
2011-2014,20461192077.0,9,9,0.004172427491346822,0.07653070053994185
2011-2014,20571178428.0,2,2,0.0,0.06412031666859994
2011-2014,20396889995,3,3,0.0,0.050477696100812715
2011-2014,20530987460.0,7,7,0.023351331395080527,0.0591265225355314
2011-2014,20534100222,3,3,0.0,0.050477696100812715
2011-2014,20407864221,1,1,0.0,0.052868004829820556
2011-2014,20534157682.0,4,4,0.0012183303336563754,0.0647768386822716
2011-2014,20445572820,3,3,0.0,0.006437768240343348
2011-2014,20397543987.0,3,3,0.0,0.006437768240343348
2011-2014,20525315861.0,3,3,0.0,0.006437768240343348
2011-2014,20445254615,3,3,0.0,0.006437768240343348
2011-2014,20531061536,3,3,0.0,0.044500852834479666
2011-2014,20530699910.0,3,3,0.0,0.044500852834479666
2011-2014,20488241886.0,3,3,0.0,0.044500852834479666
2011-2014,20534157682,5,5,0.0035996123494392907,0.052502389305409625
2011-2014,10102838721,3,3,0.0,0.006437768240343348
2011-2014,20530837816.0,3,3,0.0,0.006437768240343348
2011-2014,20509605018.0,3,3,0.0,0.006437768240343348
2011-2014,20542153980,3,3,0.0,0.006437768240343348
2011-2014,20542058219,4,4,0.0008079911356807624,0.06990649625747912
2011-2014,20533976540.0,11,14,0.013155044841324773,0.07941260976529531
2011-2014,20534151307.0,19,22,0.0295630484824274,0.08827727318095618
2011-2014,20461192077,5,7,0.002529805709495891,0.07055618488440736
2011-2014,20534142227.0,14,16,0.004080146535407203,0.07428420248103944
2011-2014,20531700130,2,2,0.0,0.004291845493562232
2011-2014,20338936398.0,2,2,0.0,0.004291845493562232
2011-2014,10078495451.0,2,2,0.0,0.004291845493562232
2011-2014,20530821731,2,2,0.0,0.04551466123238748
2011-2014,20530732631.0,5,5,0.0024182011168028057,0.05399605614197889
2011-2014,20531064047.0,2,2,0.0,0.04551466123238748
2011-2014,20506426155,5,5,0.0008214499976925561,0.028558317812508432
2011-2014,20512030204.0,1,1,0.0,0.022258688883278633
2011-2014,20571117712.0,2,2,0.0,0.05228543728348644
2011-2014,20534004932.0,5,5,0.005907056163182426,0.06347696900971765
2011-2014,20533971823,15,22,0.016990618162764506,0.06718447339435603
2011-2014,20530862764.0,6,9,0.0010838558045397307,0.055904605990885356
2011-2014,20533993479.0,5,7,0.0024059084845807796,0.0554149306099433
2011-2014,20519134188,7,12,8.845201286015352e-05,0.055577199806458505
