periodo,empresa,degree_co,degreew_co,betweenness_co,closeness_co
2019-2022,20529202998,1,1,0.0,0.00510204081632653
2019-2022,20604063290.0,4,4,2.9961649089165866e-05,0.008928571428571428
2019-2022,20529230851,1,1,0.0,0.0040178571428571425
2019-2022,20528901361.0,3,3,1.997443272611058e-05,0.006696428571428571
2019-2022,20539807162,1,1,0.0,0.002232142857142857
2019-2022,20568894180.0,1,1,0.0,0.002232142857142857
2019-2022,20600592786,1,1,0.0,0.002232142857142857
2019-2022,20603194676.0,1,1,0.0,0.002232142857142857
2019-2022,20489739900,2,2,1.4980824544582933e-05,0.006200396825396826
2019-2022,20528917951.0,3,3,6.491690635985938e-05,0.007971938775510204
2019-2022,20542577836.0,2,2,4.993608181527645e-06,0.005073051948051948
2019-2022,20450519783,1,1,0.0,0.002976190476190476
2019-2022,20571244153.0,2,3,9.98721636305529e-06,0.004464285714285714
2019-2022,20489536979,2,2,1.4980824544582933e-05,0.006200396825396826
2019-2022,20604553947,2,2,0.0,0.004464285714285714
2019-2022,20489537274.0,2,2,0.0,0.004464285714285714
2019-2022,20489739900.0,2,2,0.0,0.004464285714285714
2019-2022,20568235810,1,1,0.0,0.002232142857142857
2019-2022,20486960401.0,1,1,0.0,0.002232142857142857
2019-2022,20529111259,2,2,0.00031959092361776926,0.012362637362637362
2019-2022,20489536979.0,4,4,0.0004693991690635986,0.013975155279503104
2019-2022,20489544998,3,3,0.00020973154362416107,0.010714285714285714
2019-2022,20542451735.0,1,1,0.0,0.0078397212543554
2019-2022,20487065502,1,1,0.0,0.002232142857142857
2019-2022,20486397714.0,1,1,0.0,0.002232142857142857
2019-2022,20489537274,2,2,1.997443272611058e-05,0.005022321428571428
2019-2022,20604441103.0,1,1,0.0,0.0033482142857142855
2019-2022,20489466741,4,4,0.00020973154362416107,0.01108374384236453
2019-2022,20528924221.0,1,1,0.0,0.008035714285714285
2019-2022,20542072637,1,1,0.0,0.005739795918367346
2019-2022,20445629015.0,3,3,4.993608181527645e-05,0.008928571428571428
2019-2022,20481871027,1,1,0.0,0.002232142857142857
2019-2022,20531737645.0,1,1,0.0,0.002232142857142857
2019-2022,20445549411,1,1,0.0,0.005739795918367346
2019-2022,20477160710.0,3,3,4.993608181527645e-05,0.008928571428571428
2019-2022,20544771478,2,2,0.0,0.008035714285714285
2019-2022,20445575411.0,5,5,0.00010985937999360819,0.011479591836734693
2019-2022,20477160710,3,3,8.98849472674976e-05,0.008928571428571428
2019-2022,20445695310.0,1,1,0.0,0.005739795918367346
2019-2022,20530990681,3,3,6.991051454138702e-05,0.006975446428571429
2019-2022,20534165278.0,1,1,0.0,0.004650297619047619
2019-2022,20542169550,1,1,0.0,0.002232142857142857
2019-2022,20542132982.0,1,1,0.0,0.002232142857142857
2019-2022,20445292541,1,1,0.0,0.002232142857142857
2019-2022,20605408631.0,1,1,0.0,0.002232142857142857
2019-2022,20407987650,2,2,0.0,0.004464285714285714
2019-2022,20266458089.0,2,2,0.0,0.004464285714285714
2019-2022,20545512662.0,2,2,0.0,0.004464285714285714
2019-2022,20541706454,2,2,0.0,0.007305194805194804
2019-2022,20544771478.0,2,2,0.0,0.007305194805194804
2019-2022,20489528283,3,3,0.0,0.007971938775510204
2019-2022,20529202998.0,5,5,6.991051454138702e-05,0.011160714285714286
2019-2022,20445292541.0,3,3,0.0,0.007971938775510204
2019-2022,20569209782,3,3,0.0,0.007971938775510204
2019-2022,20541674820,2,2,0.0,0.008035714285714285
2019-2022,20495675611.0,5,5,0.00011984659635666346,0.011479591836734693
2019-2022,20531897413,2,2,0.0,0.004464285714285714
2019-2022,20541616382.0,2,2,0.0,0.004464285714285714
2019-2022,20541666487.0,2,2,0.0,0.004464285714285714
2019-2022,20602578501.0,1,1,0.0,0.004650297619047619
2019-2022,20227233321,1,1,0.0,0.002232142857142857
2019-2022,20505621159.0,1,1,0.0,0.002232142857142857
2019-2022,20604091382,2,2,0.0,0.006802721088435373
2019-2022,20534489685.0,4,4,0.0001697826781719399,0.009523809523809523
2019-2022,20548656606.0,2,2,0.0,0.006802721088435373
2019-2022,20534013923,2,2,3.994886545222116e-05,0.006975446428571429
2019-2022,20571395364.0,4,4,8.98849472674976e-05,0.009300595238095238
2019-2022,20517623394,2,3,9.98721636305529e-06,0.004464285714285714
2019-2022,20601293618.0,1,1,0.0,0.002976190476190476
2019-2022,20541776584,1,1,0.0,0.006696428571428571
2019-2022,20571395364,2,2,0.00031959092361776926,0.010003306878306879
2019-2022,20600392892.0,1,1,0.0,0.008839285714285714
