periodo,empresa,degree_co,degreew_co,betweenness_co,closeness_co
2023-2026,20489594235,1,1,0.0,0.009900990099009901
2023-2026,20603185294.0,1,1,0.0,0.009900990099009901
2023-2026,20489304687,1,1,0.0,0.009900990099009901
2023-2026,20529286300.0,1,1,0.0,0.009900990099009901
2023-2026,20446927753,1,1,0.0,0.019801980198019802
2023-2026,20529111259.0,3,3,0.0005940594059405942,0.031683168316831684
2023-2026,20489734185,1,1,0.0,0.009900990099009901
2023-2026,20602220827.0,1,1,0.0,0.009900990099009901
2023-2026,20529215038,2,2,0.00019801980198019803,0.019801980198019802
2023-2026,20607960268.0,1,1,0.0,0.013201320132013201
2023-2026,20502322711,1,1,0.0,0.009900990099009901
2023-2026,20542577836.0,1,1,0.0,0.009900990099009901
2023-2026,20393226502,1,1,0.0,0.009900990099009901
2023-2026,20573284012.0,1,1,0.0,0.009900990099009901
2023-2026,20489434891,1,1,0.0,0.009900990099009901
2023-2026,20489643627.0,1,1,0.0,0.009900990099009901
2023-2026,20494951020,1,1,0.0,0.009900990099009901
2023-2026,20601308160.0,1,1,0.0,0.009900990099009901
2023-2026,20608594222,1,1,0.0,0.009900990099009901
2023-2026,20489585325.0,1,1,0.0,0.009900990099009901
2023-2026,20571395283,3,3,0.0005940594059405942,0.0297029702970297
2023-2026,20529089148.0,1,1,0.0,0.01782178217821782
2023-2026,20529068655,2,2,0.00019801980198019803,0.019801980198019802
2023-2026,20610270272.0,1,1,0.0,0.013201320132013201
2023-2026,20489614015.0,1,1,0.0,0.01782178217821782
2023-2026,20407863250,1,1,0.0,0.009900990099009901
2023-2026,20608503766.0,1,1,0.0,0.009900990099009901
2023-2026,20573333081,1,1,0.0,0.009900990099009901
2023-2026,20603919395.0,1,1,0.0,0.009900990099009901
2023-2026,20486845725,1,1,0.0,0.019801980198019802
2023-2026,20529068655.0,3,3,0.0005940594059405942,0.031683168316831684
2023-2026,20489747244,2,2,0.0,0.019801980198019802
2023-2026,20603013540.0,2,2,0.0,0.019801980198019802
2023-2026,20604906475.0,2,2,0.0,0.019801980198019802
2023-2026,20573098731,1,1,0.0,0.009900990099009901
2023-2026,20613377205.0,1,1,0.0,0.009900990099009901
2023-2026,10324057035,1,1,0.0,0.009900990099009901
2023-2026,20571395283.0,1,1,0.0,0.009900990099009901
2023-2026,20407836872,1,2,0.0,0.009900990099009901
2023-2026,20573225199.0,1,2,0.0,0.009900990099009901
2023-2026,20600967496,3,3,0.0,0.0297029702970297
2023-2026,20603549261.0,3,3,0.0,0.0297029702970297
2023-2026,20446927753.0,3,3,0.0,0.0297029702970297
2023-2026,L0200835137,3,3,0.0,0.0297029702970297
2023-2026,20613220004.0,1,1,0.0,0.013201320132013201
2023-2026,20603398573.0,1,1,0.0,0.01782178217821782
2023-2026,20611372338,1,1,0.0,0.009900990099009901
2023-2026,20494951020.0,1,1,0.0,0.009900990099009901
2023-2026,10411982438,2,2,0.0,0.026402640264026403
2023-2026,20600099541,2,2,0.0,0.019801980198019802
2023-2026,20602581234.0,2,2,0.0,0.019801980198019802
2023-2026,20605286306.0,2,2,0.0,0.019801980198019802
2023-2026,20489626706,1,1,0.0,0.009900990099009901
2023-2026,20529033274.0,1,1,0.0,0.009900990099009901
2023-2026,20608077163,2,2,0.00019801980198019803,0.019801980198019802
2023-2026,20601771641.0,1,1,0.0,0.013201320132013201
2023-2026,20506298301,1,1,0.0,0.009900990099009901
2023-2026,20600119703.0,1,1,0.0,0.009900990099009901
2023-2026,20529030330,1,1,0.0,0.009900990099009901
2023-2026,20528973516.0,1,1,0.0,0.009900990099009901
2023-2026,20601771641,1,1,0.0,0.009900990099009901
2023-2026,20608077163.0,1,1,0.0,0.009900990099009901
2023-2026,20393675480,1,1,0.0,0.009900990099009901
2023-2026,20602486894.0,1,1,0.0,0.009900990099009901
2023-2026,20489650674,1,1,0.0,0.009900990099009901
2023-2026,20489537436.0,1,1,0.0,0.009900990099009901
2023-2026,20489684145,1,1,0.0,0.009900990099009901
2023-2026,20529215038.0,1,1,0.0,0.009900990099009901
2023-2026,20529202998.0,1,1,0.0,0.013201320132013201
2023-2026,20573338554.0,1,1,0.0,0.013201320132013201
2023-2026,20486975939,1,1,0.0,0.009900990099009901
2023-2026,20573144946.0,1,1,0.0,0.009900990099009901
