periodo,nodo,label,tipo,degree_bip,degreew_bip,betweenness_bip,closeness_bip,betweenness_co,closeness_co
2023-2026,20529215038.0,20529215038.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20529286300.0,20529286300.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542350033,20542350033,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542489627.0,20542489627.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20542577836.0,20542577836.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20568073658.0,20568073658.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20571395283,20571395283,empresa,1,3,0.0,0.4538966150616636,0.0005940594059405942,0.0297029702970297
2023-2026,20571395283.0,20571395283.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573066619,20573066619,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573098731,20573098731,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573144946.0,20573144946.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573225199,20573225199,empresa,1,2,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20573225199.0,20573225199.0,empresa,1,2,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573284012.0,20573284012.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573333081,20573333081,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20573338554.0,20573338554.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20600079493.0,20600079493.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20600099541,20600099541,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20600119703.0,20600119703.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20600592786.0,20600592786.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20600630963.0,20600630963.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20600967496,20600967496,empresa,1,1,0.0,0.4538966150616636,0.0,0.0297029702970297
2023-2026,20601277078,20601277078,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20601308160.0,20601308160.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20601771641,20601771641,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20601771641.0,20601771641.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20602220827.0,20602220827.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20602486894.0,20602486894.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20602581234.0,20602581234.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20602640079.0,20602640079.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20603013540.0,20603013540.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20603185294.0,20603185294.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20603398573.0,20603398573.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.01782178217821782
2023-2026,20603549261.0,20603549261.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.0297029702970297
2023-2026,20603641834,20603641834,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20603919395.0,20603919395.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20604695067,20604695067,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20604906475.0,20604906475.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20605286306.0,20605286306.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.019801980198019802
2023-2026,20605875778.0,20605875778.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20607960268.0,20607960268.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20608077163,20608077163,empresa,1,2,0.0,0.4538966150616636,0.00019801980198019803,0.019801980198019802
2023-2026,20608077163.0,20608077163.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20608503766.0,20608503766.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20608594222,20608594222,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20610270272.0,20610270272.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20611372338,20611372338,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,20613220004.0,20613220004.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.013201320132013201
2023-2026,20613377205.0,20613377205.0,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,99000035293,99000035293,empresa,1,1,0.0,0.4538966150616636,0.0,0.009900990099009901
2023-2026,L0200835137,L0200835137,empresa,1,1,0.0,0.4538966150616636,0.0,0.0297029702970297
